filename,ai_probability
001.txt,0.2261820137500763
002.txt,0.12806972861289978
003.txt,0.17126189172267914
004.txt,0.13516229391098022
005.txt,0.15696053206920624
006.txt,0.5586170554161072
007.txt,0.2328307032585144
008.txt,0.043076999485492706
009.txt,0.1366015523672104
010.txt,0.40669625997543335
011.txt,0.12645737826824188
012.txt,0.23023633658885956
013.txt,0.9650322198867798
014.txt,0.05614094063639641
015.txt,0.6622611880302429
016.txt,0.08714450895786285
017.txt,0.1298261433839798
018.txt,0.06235400587320328
019.txt,0.32207411527633667
020.txt,0.17249010503292084
021.txt,0.010940995998680592
022.txt,0.054999418556690216
023.txt,0.014204200357198715
024.txt,0.16590550541877747
025.txt,0.6642123460769653
026.txt,0.9017862677574158
027.txt,0.011011851951479912
028.txt,0.00974992848932743
029.txt,0.856313169002533
030.txt,0.8283922672271729
031.txt,0.09880948811769485
032.txt,0.2428310662508011
033.txt,0.07930602878332138
034.txt,0.020404169335961342
035.txt,0.7589398622512817
036.txt,0.01573462039232254
037.txt,0.0134125342592597
038.txt,0.43546947836875916
039.txt,0.18365298211574554
040.txt,0.9177424907684326
041.txt,0.7794474363327026
042.txt,0.20833447575569153
043.txt,0.04579031467437744
044.txt,0.5282508730888367
045.txt,0.016056381165981293
046.txt,0.05667044594883919
047.txt,0.05419721454381943
048.txt,0.3292824923992157
049.txt,0.5762549638748169
050.txt,0.48161745071411133
051.txt,0.1594061553478241
052.txt,0.02925250120460987
053.txt,0.9452384114265442
054.txt,0.3153579831123352
055.txt,0.1392698884010315
056.txt,0.2952120900154114
057.txt,0.03826930373907089
058.txt,0.9935591816902161
059.txt,0.6217435598373413
060.txt,0.656865119934082
061.txt,0.06840993463993073
062.txt,0.9526711702346802
063.txt,0.17429083585739136
064.txt,0.6385585069656372
065.txt,0.016269605606794357
066.txt,0.0526890754699707
067.txt,0.011517129838466644
068.txt,0.7779859900474548
069.txt,0.19111265242099762
070.txt,0.07872466742992401
071.txt,0.20434728264808655
072.txt,0.01406106911599636
073.txt,0.3745240569114685
074.txt,0.9380427598953247
075.txt,0.9582339525222778
076.txt,0.2469143122434616
077.txt,0.19399213790893555
078.txt,0.8938201069831848
079.txt,0.011532643809914589
080.txt,0.013942384161055088
081.txt,0.013077380135655403
082.txt,0.3297872841358185
083.txt,0.13186143338680267
084.txt,0.06046835333108902
085.txt,0.04992186650633812
086.txt,0.9680752158164978
087.txt,0.03710312396287918
088.txt,0.9536932706832886
089.txt,0.45660948753356934
090.txt,0.2427329570055008
091.txt,0.036669209599494934
092.txt,0.9880721569061279
093.txt,0.2230348289012909
094.txt,0.3288445472717285
095.txt,0.0346728153526783
096.txt,0.3281128406524658
097.txt,0.06972864270210266
098.txt,0.05256479233503342
099.txt,0.9342860579490662
