filename,ai_probability
001.txt,0.01841365173459053
002.txt,0.011673562228679657
003.txt,0.01911565475165844
004.txt,0.016374928876757622
005.txt,0.013083032332360744
006.txt,0.012155859731137753
007.txt,0.010345938615500927
008.txt,0.018419688567519188
009.txt,0.022942060604691505
010.txt,0.01522298064082861
011.txt,0.016473034396767616
012.txt,0.011798173189163208
013.txt,0.02139393612742424
014.txt,0.012895004823803902
015.txt,0.020846771076321602
016.txt,0.013797454535961151
017.txt,0.015291915275156498
018.txt,0.015728050842881203
019.txt,0.018231568858027458
020.txt,0.01240867841988802
021.txt,0.012512167915701866
022.txt,0.03071722202003002
023.txt,0.013918084092438221
024.txt,0.050460610538721085
025.txt,0.020972203463315964
026.txt,0.009897415526211262
027.txt,0.019913723692297935
028.txt,0.01129527110606432
029.txt,0.026624035090208054
030.txt,0.013573087751865387
031.txt,0.020556733012199402
032.txt,0.015340287238359451
033.txt,0.020336171612143517
034.txt,0.01530052162706852
035.txt,0.015711095184087753
036.txt,0.010064832866191864
037.txt,0.010811306536197662
038.txt,0.014213450253009796
039.txt,0.01437178160995245
040.txt,0.02162538841366768
041.txt,0.014354211278259754
042.txt,0.011967672035098076
043.txt,0.013578873127698898
044.txt,0.009640282951295376
045.txt,0.013784820213913918
046.txt,0.023451009765267372
047.txt,0.02190769463777542
048.txt,0.017757020890712738
049.txt,0.01875155419111252
050.txt,0.017691653221845627
051.txt,0.014641582034528255
052.txt,0.015506335534155369
053.txt,0.047366514801979065
054.txt,0.017893506214022636
055.txt,0.014923333190381527
056.txt,0.01731349155306816
057.txt,0.014094829559326172
058.txt,0.09936701506376266
059.txt,0.017158741131424904
060.txt,0.014060084708034992
061.txt,0.014508393593132496
062.txt,0.011127779260277748
063.txt,0.015366076491773129
064.txt,0.024642743170261383
065.txt,0.013108761981129646
066.txt,0.016157442703843117
067.txt,0.01362188532948494
068.txt,0.015144461765885353
069.txt,0.011981148272752762
070.txt,0.014017683453857899
071.txt,0.01595671847462654
072.txt,0.02006264589726925
073.txt,0.013800530694425106
074.txt,0.013920138590037823
075.txt,0.018461331725120544
076.txt,0.014068719930946827
077.txt,0.021377354860305786
078.txt,0.017646528780460358
079.txt,0.012484142556786537
080.txt,0.02280804142355919
081.txt,0.016665540635585785
082.txt,0.01957784593105316
083.txt,0.014515512622892857
084.txt,0.012774248607456684
085.txt,0.011677446775138378
086.txt,0.021430939435958862
087.txt,0.013085505925118923
088.txt,0.01958131231367588
089.txt,0.012284258380532265
090.txt,0.01913793385028839
091.txt,0.010738028213381767
092.txt,0.017742149531841278
093.txt,0.01661703549325466
094.txt,0.01898825913667679
095.txt,0.01141600962728262
096.txt,0.01510460115969181
097.txt,0.013964269310235977
098.txt,0.015961188822984695
099.txt,0.013649914413690567
